0,1,2,3,4,5,6,7
,,,Bonds,,,,
,,,,,,,The data
,,Weighted average,,,Simple average,,
,Government,Corporate fixed,,Government,Corporate fixed,,
Year/The Purple Book dataset,fixed interest,interest,Index-linked,fixed interest,interest,Index-linked,
,,,,,,,Scheme
2008,33.2%,32.6%,33.9%,47.2%,33.0%,19.8%,
,,,,,,,demographics
2009,29.0%,38.3%,32.6%,45.6%,37.3%,17.1%,
2010,24.6%,42.2%,33.1%,37.3%,43.0%,19.8%,
,,,,,,,Scheme
2011,19.6%,44.3%,36.1%,31.2%,47.1%,21.7%,funding
2012,17.7%,44.8%,37.5%,28.2%,49.4%,22.4%,
2013,18.5%,40.6%,40.9%,27.0%,49.6%,23.4%,
,,,,,,,Funding
,,,,,,,sensitivities
2014,18.6%,40.3%,41.1%,23.8%,51.9%,24.4%,
2015,20.3%,37.7%,42.0%,23.8%,51.2%,25.0%,
2016,21.9%,33.7%,44.4%,24.4%,49.0%,26.6%,Insolvency
,,,,,,,risk
2017,24.1%,31.4%,44.5%,25.9%,46.8%,27.3%,
2018,24.1%,28.8%,47.1%,27.2%,42.1%,30.8%,
,,,,,,,Asset
2019,25.4%,28.4%,46.2%,29.0%,38.9%,32.1%,
,,,,,,,allocation
2020,25.9%,28.0%,46.1%,29.4%,36.1%,34.6%,
2021,24.6%,28.2%,47.2%,30.4%,34.8%,34.8%,
,,,,,,,Risk
2022,22.0%,30.2%,47.8%,30.2%,35.7%,34.1%,
,,,,,,,reduction
